マスター,地名,地名ふりがな,センター,燃やせるごみ,燃やせないごみ,資源物,古紙・布類,粗大ごみ
1,合川,あいかわ, ,月 木,火1 火3,火1 火3,火2 火4,20240417 20240515 20240619 20240717 20240821 20240918 20241016 20241120 20241218 20250122 20250219 20250319
1,御井,みい, ,月 木,火1 火3,火1 火3,火2 火4,20240426 20240524 20240628 20240726 20240823 20240927 20241025 20241122 20241227 20250131 20250228 20250328
1,西国分,にしこくぶ, ,月 木,火2 火4,火2 火4,火1 火3,20240412 20240510 20240614 20240712 20240809 20240913 20241011 20241108 20241213 20250117 20250214 20250314
1,東国分,ひがしこくぶ, ,月 木,火2 火4,火2 火4,火1 火3,20240419 20240517 20240621 20240719 20240816 20240920 20241018 20241115 20241220 20250124 20250221 20250321
1,青峰,せいほう, ,月 木,金1 金3,金1 金3,金2 金4,20240426 20240524 20240628 20240726 20240823 20240927 20241025 20241122 20241227 20250131 20250228 20250328
1,南薫,なんくん, ,月 木,金1 金3,金1 金3,金2 金4,20240403 20240501 20240605 20240703 20240807 20240904 20241002 20241106 20241204 20250108 20250205 20250305
1,宮ノ陣,みやのじん, ,月 木,金1 金3,金1 金3,金2 金4,20240410 20240508 20240612 20240710 20240814 20240911 20241009 20241113 20241211 20250115 20250212 20250312
1,山本,やまもと, ,月 木,金2 金4,金2 金4,金1 金3,20240423 20240528 20240625 20240723 20240827 20240924 20241022 20241126 20241224 20250128 20250225 20250325
1,草野,くさの, ,月 木,金2 金4,金2 金4,金1 金3,20240423 20240528 20240625 20240723 20240827 20240924 20241022 20241126 20241224 20250128 20250225 20250325
1,大橋,おおはし, ,月 木,金2 金4,金2 金4,金1 金3,20240423 20240528 20240625 20240723 20240827 20240924 20241022 20241126 20241224 20250128 20250225 20250325
1,善導寺,ぜんどうじ, ,月 木,金2 金4,金2 金4,金1 金3,20240423 20240528 20240625 20240723 20240827 20240924 20241022 20241126 20241224 20250128 20250225 20250325
1,山川,やまかわ, ,月 木,金2 金4,金2 金4,金1 金3,20240423 20240528 20240625 20240723 20240827 20240924 20241022 20241126 20241224 20250128 20250225 20250325
1,日吉,ひよし, ,月 木,水1 水3,水1 水3,水2 水4,20240416 20240521 20240618 20240716 20240820 20240917 20241015 20241119 20241217 20250121 20250218 20250318
1,高良内,こうらうち, ,月 木,水1 水3,水1 水3,水2 水4,20240426 20240524 20240628 20240726 20240823 20240927 20241025 20241122 20241227 20250131 20250228 20250328
1,篠山,ささやま, ,火 金,水1 水3,水1 水3,水2 水4,20240411 20240509 20240613 20240711 20240808 20240912 20241010 20241114 20241212 20250116 20250213 20250313
