mastercode,label,sublabel,description,styles,bgcolor
1,燃やせるごみ,,,img/moyasanai.svg,#ef60a0
1,資源物,,,img/shigen.svg,#0666bd
1,古紙・布類,,,img/koshi.svg,#f5951d
1,粗大ごみ,,,img/sodai.svg,#accb2f
1,燃やせないごみ,,,img/neoyasubanohi.svg,#85aaaa
2,燃やせるごみ,,,img/neoyasubanohi.svg,#ef60a0
2,資源物,,,img/neoyasubanohi.svg,#0666bd
2,古紙・布類,,,img/neoyasubanohi.svg,#f5951d
2,粗大ごみ,,,img/neoyasubanohi.svg,#accb2f
3,燃やせるごみ,,,img/neoyasubanohi.svg,#ef60a0
3,資源物,,,img/neoyasubanohi.svg,#0666bd
3,古紙・布類,,,img/neoyasubanohi.svg,#f5951d
3,粗大ごみ,,,img/neoyasubanohi.svg,#accb2f
4,燃やせるごみ,,,img/neoyasubanohi.svg,#ef60a0
4,資源物,,,img/neoyasubanohi.svg,#0666bd
4,粗大ごみ,,,img/neoyasubanohi.svg,#accb2f
4,燃やさないごみ,,,img/neoyasubanohi.svg,#85aaaa
5,燃やせるごみ,,,img/neoyasubanohi.svg,#ef60a0
5,資源物,,,img/neoyasubanohi.svg,#0666bd
5,粗大ごみ,,,img/neoyasubanohi.svg,#accb2f
5,燃やさないごみ,,,img/neoyasubanohi.svg,#85aaaa
